JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459020.59887,12.994,0.013,,R,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.127  K = 12.134,0,2.155,Z,17.594,17.787,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.59931,13.026,0.014,,R,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.127  K = 12.134,0,2.159,Z,17.640,17.808,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60012,13.086,0.008,,CV,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.081  K = 12.280,0,2.166,Z,15.831,16.010,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60083,13.266,0.013,,V,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.081  K = 12.280,0,2.172,Z,17.208,17.418,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60152,14.139,0.024,,B,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.622  K = 12.874,0,2.178,Z,17.955,18.217,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60218,12.710,0.025,,I,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.161  K = 11.992,0,2.184,Z,18.258,18.255,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60286,13.082,0.008,,CV,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.081  K = 12.280,0,2.190,Z,15.802,15.989,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60356,13.244,0.012,,V,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.081  K = 12.280,0,2.197,Z,17.182,17.392,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60422,14.151,0.024,,B,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.622  K = 12.874,0,2.203,Z,17.933,18.206,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
2459020.60499,12.759,0.028,,I,VMT,,UCAC4 349-129593,UCAC4 349-129676,X25493ENB,STANDARD MAG: C = 12.161  K = 11.992,0,2.210,Z,18.284,18.260,,ASASSN-V J181654.06-202117.6,VVS,STD,,,,
