HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457078.14729,2015-02-24.6496125,ba,1.61,15.583,12.529,0.014,37.357,0.481,V
2457078.14879,2015-02-24.6510975,ba,1.69,15.599,12.543,0.014,36.870,0.476,V
2457079.15166,2015-02-25.6538819,ba,2.06,15.573,12.566,0.015,36.097,0.481,V
2457079.15340,2015-02-25.6556204,ba,2.02,15.521,12.542,0.015,36.898,0.501,V
2457080.15561,2015-02-26.6577473,ba,1.73,15.577,12.501,0.014,38.331,0.479,V
2457080.15710,2015-02-26.6592429,ba,1.81,15.628,12.487,0.013,38.841,0.462,V
2457081.14538,2015-02-27.6474451,ba,1.77,15.597,12.558,0.014,36.370,0.468,V
2457081.14685,2015-02-27.6489038,ba,1.64,15.659,12.507,0.013,38.148,0.439,V
2457083.14025,2015-03-01.6421178,ba,1.98,15.613,12.554,0.014,36.507,0.464,V
2457083.14165,2015-03-01.6435215,ba,2.00,15.605,12.547,0.014,36.758,0.468,V
2457084.13753,2015-03-02.6393052,ba,2.07,15.517,12.550,0.015,36.624,0.499,V
2457084.13894,2015-03-02.6407180,ba,2.07,15.567,12.536,0.014,37.085,0.480,V
2457085.13517,2015-03-03.6368565,ba,2.10,15.478,12.500,0.014,38.378,0.506,V
2457085.13658,2015-03-03.6382718,ba,2.10,15.525,12.504,0.014,38.205,0.490,V
2457102.14526,2015-03-20.6457175,ba,1.69,15.600,12.531,0.014,37.293,0.463,V
2457102.14683,2015-03-20.6472856,ba,1.65,15.532,12.552,0.015,36.572,0.496,V
2457107.15554,2015-03-25.6554969,ba,2.00,15.047,12.547,0.023,36.726,0.773,V
2457112.13212,2015-03-30.6315930,ba,1.57,15.654,12.520,0.013,37.666,0.442,V
2457112.13380,2015-03-30.6332640,ba,1.92,15.641,12.570,0.014,35.961,0.452,V
2457114.13801,2015-04-01.6372778,ba,2.19,15.524,12.530,0.015,37.325,0.492,V
2457114.13958,2015-04-01.6388461,ba,2.20,15.645,12.522,0.013,37.591,0.455,V
2457115.13626,2015-04-02.6354246,ba,2.13,15.579,12.495,0.014,38.516,0.479,V
2457133.07271,2015-04-20.5701877,ba,1.95,99.990,99.990,99.990,99.990,99.990,V
2457136.04274,2015-04-23.5399478,ba,1.60,15.684,12.555,0.013,36.447,0.432,V
2457136.04425,2015-04-23.5414633,ba,1.65,15.633,12.544,0.014,36.846,0.452,V
2457137.07374,2015-04-24.5708631,ba,1.62,15.665,12.551,0.013,36.624,0.438,V
2457137.07532,2015-04-24.5724381,ba,1.64,15.712,12.491,0.012,38.693,0.423,V
2457138.08348,2015-04-25.5805195,ba,1.68,15.694,12.469,0.012,39.491,0.439,V
2457138.08502,2015-04-25.5820501,ba,1.69,15.685,12.486,0.012,38.873,0.442,V
2457162.02574,2015-05-19.5210260,ba,1.97,15.515,12.525,0.015,37.483,0.512,V
2457162.02737,2015-05-19.5226520,ba,1.97,15.565,12.506,0.014,38.159,0.485,V
2457163.02049,2015-05-20.5157200,ba,1.97,15.624,12.476,0.012,39.227,0.450,V
2457163.02201,2015-05-20.5172398,ba,1.59,15.617,12.547,0.014,36.748,0.454,V
2457164.00410,2015-05-21.4992699,ba,2.02,15.682,12.552,0.013,36.592,0.435,V
2457164.00564,2015-05-21.5008120,ba,2.04,15.676,12.583,0.014,35.536,0.438,V
2457166.99888,2015-05-24.4939050,ba,1.98,15.568,12.548,0.015,36.715,0.475,V
2457167.00044,2015-05-24.4954561,ba,1.99,15.657,12.559,0.014,36.344,0.446,V
2457167.98356,2015-05-25.4785313,ba,1.60,15.684,12.526,0.013,37.466,0.432,V
2457167.98517,2015-05-25.4801443,ba,1.95,15.701,12.520,0.013,37.676,0.431,V
2457174.96019,2015-06-01.4548438,ba,1.73,99.990,99.990,99.990,99.990,99.990,V
2457174.96183,2015-06-01.456475,ba,2.01,99.990,99.990,99.990,99.990,99.990,V
2457179.99829,2015-06-06.4927535,ba,1.98,15.426,12.546,0.016,36.792,0.536,V
2457179.99990,2015-06-06.4943658,ba,1.95,15.411,12.553,0.017,36.533,0.548,V
2457180.93931,2015-06-07.4337420,ba,1.95,15.476,12.536,0.016,37.119,0.514,V
2457180.94079,2015-06-07.4352266,ba,1.97,15.476,12.552,0.015,36.580,0.512,V
2457183.96970,2015-06-10.4640605,ba,2.03,15.757,12.561,0.013,36.255,0.400,V
2457183.97128,2015-06-10.4656310,ba,2.01,15.713,12.583,0.013,35.539,0.419,V
2457185.96807,2015-06-12.4623791,ba,2.16,15.612,12.538,0.014,37.040,0.456,V
2457188.94171,2015-06-15.4359628,ba,2.03,15.521,12.530,0.015,37.301,0.503,V
2457188.94328,2015-06-15.4375388,ba,2.04,15.460,12.533,0.016,37.199,0.530,V
2457189.95436,2015-06-16.4486018,ba,1.98,15.404,12.557,0.017,36.399,0.555,V
2457189.95589,2015-06-16.4501332,ba,1.99,15.264,12.541,0.019,36.925,0.642,V
2457190.94502,2015-06-17.4392460,ba,1.98,15.554,12.499,0.014,38.416,0.489,V
2457190.94650,2015-06-17.4407275,ba,1.97,15.584,12.543,0.014,36.885,0.476,V
